,Neighborhood,Businesses,Debt Risk Score,Walk Score,Population,Average Income,Latitude,Longitude,Top Venues
0,"West Humber-Clairville, Toronto",2463,719,57,8506,26610,43.75,79.638889,
1,"Thistletown-Beaumond Heights, Toronto",217,718,54,16790,28955,43.737222,-79.565278,
2,"Kingsview Village-The Westway, Toronto",160,717,56,16254,32004,43.694444,-79.558611,
3,"Willowridge-Martingrove-Richview, Toronto",169,750,51,26053,34579,43.677222,-79.550833,
5,"Eringate-Centennial-West Deane, Toronto",229,775,57,8008,34789,43.661383,-79.57072,
12,"Humbermede, Toronto",374,695,58,14778,24297,43.746297,-79.541186,
14,"Downsview-Roding-CFB, Toronto",985,692,59,36613,26751,43.732222,-79.493333,
17,"Brookhaven-Amesbury, Toronto",466,687,62,17318,27546,43.700556,-79.490278,
20,"Westminster-Branson, Toronto",83,730,61,16386,27826,43.656,-79.475,
22,"Bedford Park-Nortown, Toronto",676,776,73,13749,80827,43.73,-79.411,
23,"Bridle Path-Sunnybrook-York Mills, Toronto",58,788,58,17564,92099,43.721111,-79.377778,
27,"Parkwoods-Donalda, Toronto",209,731,63,26533,34811,43.751,-79.323,
37,"Playter Estates-Danforth, Toronto",301,757,90,3968,44557,43.678056,-79.355556,
38,"Cabbagetown-South St.James Town, Toronto",290,744,91,11120,50398,43.6664,-79.3629,
49,"Weston-Pellam Park, Toronto",178,698,75,16476,27446,43.672,-79.457,
51,"Dovercourt-Wallace Emerson-Juncti, Toronto",890,719,88,10338,25029,43.665,-79.432,
60,"Clairlea-Birchmount, Toronto",831,741,69,11104,33392,43.709722,-79.290833,
62,"Birchcliffe-Cliffside, Toronto",345,747,71,9386,32701,43.711111,-79.248056,
